id;Title;Content;SKU;Product Type;Parent Product ID;Price;Regular Price;Sale Price;Product Type_1;Категорії товарів
2487;Світлодіодний ліхтар налобний 3W EUROLAMP;"<h3>EUROLAMP Світлодіодний ліхтар налобний 3W Red Light 3хААА чорний</h3>
Налобний світлодіодний ліхтарик EUROLAMP HL-3W(black)RL призначений для індивідуального використання в темний час доби або в приміщеннях без освітлення. Дає змогу вибрати потрібний режим роботи.
Вбудований датчик руху для комфортного увімкнення. Має білий та червоний колір світла.
Використовується налобний ремінь для ліхтаря зі зносостійкого матеріалу, м'якого за текстурою, що забезпечує зручне користування.
Виготовлено з високоякісного пластику (ABS+полікарбонат).
Живлення від 3шт батарей (акумуляторів) типу ААА (в комплект не входять).

[ux_video url=""https://youtu.be/cd9kukUpZHQ?feature=shared""]";HL-3W(black)RL;simple;0;;369;;simple;Автономне освітлення>LED ліхтарі налобні|АКЦІЇ/РОЗПРОДАЖ
2491;LED ліхтар налобний 3W зелений EUROLAMP;"<h3>EUROLAMP Світлодіодний ліхтар налобний 3W COB Red Light 3хААА зелений</h3>
Налобний світлодіодний ліхтарик EUROLAMP HL-3W(green) призначений для індивідуального використання в темний час доби або в приміщеннях без освітлення. Дає змогу вибрати потрібний режим роботи.
Вбудований датчик руху для комфортного увімкнення. Має білий та червоний колір світла.
Використовується налобний ремінь для ліхтаря зі зносостійкого матеріалу, м'якого за текстурою, що забезпечує зручне користування.
Виготовлено з високоякісного пластику (ABS+полікарбонат).
Живлення від 3шт батарей (акумуляторів) типу ААА (в комплект не входять).

[ux_video url=""https://youtu.be/cd9kukUpZHQ?feature=shared""]";HL-3W(green);simple;0;;199.02;;simple;Автономне освітлення>LED ліхтарі налобні|АКЦІЇ/РОЗПРОДАЖ
2495;Світлодіодний ліхтар налобний 3W EUROLAMP;"<h3>EUROLAMP Світлодіодний ліхтар налобний 3W COB Red Light 3хААА червоний</h3>
Налобний світлодіодний ліхтарик EUROLAMP HL-3W(green) призначений для індивідуального використання в темний час доби або в приміщеннях без освітлення. Дає змогу вибрати потрібний режим роботи.
Вбудований датчик руху для комфортного увімкнення. Має білий та червоний колір світла.
Використовується налобний ремінь для ліхтаря зі зносостійкого матеріалу, м'якого за текстурою, що забезпечує зручне користування.
Виготовлено з високоякісного пластику (ABS+полікарбонат).
Живлення від 3шт батарей (акумуляторів) типу ААА (в комплект не входять).

[ux_video url=""https://youtu.be/cd9kukUpZHQ?feature=shared""]";HL-3W(red);simple;0;;199;;simple;Автономне освітлення>LED ліхтарі налобні|АКЦІЇ/РОЗПРОДАЖ
3035;LED Лампа для знищення комах 6W EUROLAMP;"<h3>EUROLAMP LED Лампа для знищення комах 6W IPX4 3хААА</h3>
Кемпінговий світильник EUROLAMP є універсальним приладом, що слугує як для освітлення, так і захисту від комах. Пристрій генерує світло, яке приваблює комарів і мошок. Комахи при дотику до сітки світильника уражаються електричним розрядом. Пастка приваблює комах на площі до 40 кв.м.

Живлення від батареєк 3шт ААА (в комплект не входять), а також підвищений рівень пило-вологозахисту IPX4, робить даний світильник дуже практичним у використанні та незамінною річчю усіх мандрівників, мисливців та рибалок. Також стане в пригоді і жителям приватних будинків у весінньо-літній період ""сезону комах"".

Час роботи приладу від акумулятора залежить від налаштованого режиму роботи та варіюється від 4,5 до 16 годин.
Для зручності використання світильник обладнано складним гачком, що дозволить легко розмістити прилад у необхідному місці.

<b>УВАГА!</b> Перед використанням пристрою необхідно уважно ознайомитися з усіма умовами експлуатації та рекомендаціями, що вказані в технічному паспорті та керівництві з експлуатації Кемпінгового світильника з функцією захисту від комах EUROLAMP, який знаходиться в середіні упаковки.<b>
</b>";MK-6W(LAMP);simple;0;;499.02;;simple;Адміністративне освітлення>Знищувачі комах|Автономне освітлення>LED лампи з акумулятором|Автономне освітлення>LED світильники аварійні|Спеціальне освітлення>LED світильники антимоскітні|АКЦІЇ/РОЗПРОДАЖ
3043;LED Світильник для знищення комах 7W+Bluetooth EUROLAMP;"<h3>EUROLAMP LED Світильник кемпінговий для знищення комах портативний 7W IPX4 Bluetooth MicroUSB</h3>
Кемпінговий світильник-нічник EUROLAMP є універсальним приладом, що слугує як для освітлення, так і захисту від комах. Пристрій генерує світло, яке приваблює комарів і мошок. Комахи при дотику до сітки світильника уражаються електричним розрядом. Пастка приваблює комах на площі до 40 кв.м.

Наявність bluetooth-колонки з можливістю під'єднання до смартфону та зарядкою від  MicroUSB, робить даний світильник дуже практичним у використанні та незамінною річчю усіх мандрівників, мисливців та рибалок. Також стане в пригоді і жителям приватних будинків у весінньо-літній період ""сезону комах"".

Час роботи приладу від акумулятора залежить від налаштованого режиму роботи та варіюється від 4,5 до 16 годин.
Для зручності використання світильник обладнано еластичним шнурком, що дозволить легко розмістити прилад у необхідному місці, або переносити пристрій в руках.

<b>УВАГА!</b> Перед використанням пристрою необхідно уважно ознайомитися з усіма умовами експлуатації та рекомендаціями, що вказані в технічному паспорті та керівництві з експлуатації Кемпінгового світильника з функцією захисту від комах EUROLAMP, який знаходиться в середіні упаковки.";MK-7W(LIGHT);simple;0;;898.98;;simple;Адміністративне освітлення>Знищувачі комах|Автономне освітлення>LED світильники аварійні|Спеціальне освітлення>LED світильники антимоскітні|АКЦІЇ/РОЗПРОДАЖ
3054;LED ліхтар ручний 2W 1хAA (в комплекті) EUROELECTRIC;"<h1>EUROELECTRIC Світлодіодний ліхтар ручний 2W 6500K 1хAA (в комплекті)</h1>
Ручний світлодіодний ліхтар EUROELECTRIC 2W 6500K 1хAA  призначений для індивідуального використання в темний час доби, або в приміщеннях без освітлення.
Компактний пило-вологозахисний корпус з високоякісного алюмінію та наявність кліпси забезпечують зручне користування.
Перевагою даної моделі ліхтарика є наявність трьох режимів роботи, включаючи режим світіння ""стробоскоп"".
Живлення від 1шт батарейки (акумулятора) типу АА (в комплект входить).

[ux_video url=""https://youtu.be/cd9kukUpZHQ?feature=shared""]";FLASH-2W(EE);simple;0;;299;;simple;Автономне освітлення>LED ліхтарі ручні|АКЦІЇ/РОЗПРОДАЖ
3058;LED ліхтар ручний 7W 2хAA (в комплекті) EUROELECTRIC;"<h3>EUROELECTRIC Світлодіодний ліхтар ручний 7W 6500K 2хAA (в комплекті)</h3>
Ручний світлодіодний ліхтар EUROLAMP 7W 6500K 2хAA  призначений для індивідуального використання в темний час доби, або в приміщеннях без освітлення.
Компактний пило-вологозахисний корпус з високоякісного алюмінію та наявність кліпси забезпечують зручне користування.
Перевагою даної моделі ліхтарика є наявність трьох режимів роботи, включаючи режим світіння ""стробоскоп"".

<span style=""font-weight: 400;"">Дальність світла до 60 м.</span>

Живлення від 2шт батарей типу АА (входять в комплект).

Час роботи  - до 5 годин.

[ux_video url=""https://youtu.be/cd9kukUpZHQ?feature=shared""]";FLASH-7W(EE);simple;0;;325;;simple;Автономне освітлення>LED ліхтарі ручні|АКЦІЇ/РОЗПРОДАЖ
3062;Світлодіодний ліхтар ручний 7W EUROLAMP;"<h3>EUROLAMP Світлодіодний ліхтар ручний 7W 6000К battery+USB чорний</h3>
Ручний світлодіодний ліхтар EUROLAMP 7W battery+USB  призначений для індивідуального використання в темний час доби, або в приміщеннях без освітлення. Компактний пило-вологозахисний корпус із високоякісного алюмінію та наявність шнурка забезпечують зручне використання.

Живлення від мережі, має акумуляторну батарею у комплекті, зарядка через роз'єм micro-USB (шнур USB входить до комплекту).

Час роботи від аккумулятора - до 5 годин.

[ux_video url=""https://youtu.be/cd9kukUpZHQ?feature=shared""]";FLASH-7W(black);simple;0;;699;;simple;Автономне освітлення>LED ліхтарі ручні|АКЦІЇ/РОЗПРОДАЖ
3066;LED ліхтар ручний 5W battery+Type-C EUROLAMP;"<h3>EUROLAMP Світлодіодний ліхтар ручний 5W 6000К battery+Type-C чорний</h3>
Ручний світлодіодний ліхтар EUROLAMP 5W battery+Type-С  призначений для індивідуального використання в темний час доби, або в приміщеннях без освітлення.

Пило-вологозахисний корпус з високоякісного ABS-пластику та наявність на корпусі двох отворів для кріплення, забезпечують зручне користування.

Перевагою даної моделі ліхтарика є три режими роботи, включаючи режими світіння ""стробоскоп"", а також відстань освітлення до 350м.
Живлення від 2х шт вмонтованих акумуляторних батарей по 1200 mA/h кожна, а також через роз'єм USB Type-C (шнур USB входить до комплекту).
Час роботи від акумулятра - до 5 годин.

Заряд ліхтаря від мережі.

[ux_video url=""https://youtu.be/cd9kukUpZHQ?feature=shared""]";FLASH-5W(black);simple;0;;569;;simple;Автономне освітлення>LED ліхтарі ручні|АКЦІЇ/РОЗПРОДАЖ
3105;LED ліхтар ручний 2W battery+USB EUROLAMP;"<h3>EUROLAMP Світлодіодний ліхтар ручний 2W 6000К battery+USB чорний</h3>
Ручний світлодіодний ліхтар EUROLAMP 2W battery+USB  призначений для індивідуального використання в темний час доби, або в приміщеннях без освітлення. Компактний пило-вологозахисний корпус із високоякісного алюмінію та наявність шнурка забезпечують зручне використання. Перевагою даної моделі ліхтарика є три режими роботи: дальнєближнє світло, включаючи режим світіння ""стробоскоп"".
Живлення від 1шт батареї-акумулятора типу 18650, а також через роз'єм micro-USB (шнур USB входить до комплекту).
Час роботи від аккумулятора - до 3х годин.

[ux_video url=""https://youtu.be/cd9kukUpZHQ?feature=shared""]";FLASH-2W(black);simple;0;;399;;simple;Автономне освітлення>LED ліхтарі ручні|АКЦІЇ/РОЗПРОДАЖ
3130;LED ліхтар ручний 0.75W (1хAA) EUROELECTRIC;"<h3>Ручний світлодіодний ліхтар EUROELECTRIC 0.75W 6500K 1хAA</h3>
Ручний світлодіодний ліхтар EUROELECTRIC 0.75W 6500K 1хAA призначений для індивідуального використання в темний час доби, або в приміщеннях без освітлення.
Компактний корпус з високоякісного алюмінію, лінза з полікарбонату, а також дальність світлового променя до 25м, забезпечують зручне користування. Час роботи до 15 год.
Живлення від 1шт батарейки (акумулятора) типу АА (в комплект не входить).

[ux_video url=""https://youtu.be/cd9kukUpZHQ?feature=shared""]";FLASH-0,75W(EE);simple;0;;169.02;;simple;Автономне освітлення>LED ліхтарі ручні|АКЦІЇ/РОЗПРОДАЖ
3808;LED Світильник з пультом керування Van Gogh 72W 3000-6500K EUROLAMP;"[embed]https://www.youtube.com/watch?v=K4TFZQ-6Uug[/embed]
<h3>Світлодіодний EUROLAMP LED Світильник круглий SMARTLIGHT Van Gogh 72W 3000-6500K</h3>
Особливість даного виду світильників - це можливість управління температурою свічення і світловим потоком за допомогою пульту управління.
Простий в установці і практичний у використанні, світильник SmartLight допоможе Вам заощадити не тільки кошти, а й час, адже тепер для регулювання освітленості в приміщенні є пульт.

У режимі максимального рівня освітленості, світильник SmartLight 72W видає 5400Lm світлового потоку. Даний тип світильників рекомендовано використовувати в приміщеннях типу: кухні, віталень, спалень, дитячих кімнат.
Універсальний дизайн світильника підійде під будь-який стиль приміщення.

Також, світильник SmartLight володіє безліччю додаткових функцій і режимів для зручності використання. Таких як:
<ul class=""list"">
 	<li>управління колірною температурою від 3000К до 6500К;</li>
 	<li>таймер автоматичного вимкнення;</li>
 	<li>управління яскравістю;</li>
 	<li>режим нічника.</li>
</ul>";LED-SL-72W-N17(deco);simple;0;;1399.02;;simple;LED світильники>LED світильники з пультом керування|АКЦІЇ/РОЗПРОДАЖ
3813;LED Світильник з пультом керування Glass shield 72W-3000-6000K EUROLAMP;"<h3>EUROLAMP LED Світильник круглий SMARTLIGHT Glass shield T28 72W 3000K-6500K</h3>
Особливість даного виду світильників - це можливість управління температурою свічення і світловим потоком за допомогою пульту управління.
Простий в установці і практичний у використанні, світильник SmartLight допоможе Вам заощадити не тільки кошти, а й час, адже тепер для регулювання освітленості в приміщенні є пульт.

У режимі максимального рівня освітленості, світильник SmartLight 72W видає 5000Lm світлового потоку. Даний тип світильників рекомендовано використовувати в приміщеннях типу: кухні, віталень, спалень, дитячих кімнат.
Універсальний дизайн світильника підійде під будь-який стиль приміщення.

Також, світильник SmartLight володіє безліччю додаткових функцій і режимів для зручності використання. Таких як:
<ul class=""list"">
 	<li>управління колірною температурою від 3000К до 6500К;</li>
 	<li>таймер автоматичного вимкнення;</li>
 	<li>управління яскравістю;</li>
 	<li>режим нічника.</li>
</ul>";LED-SL-72W-T28;simple;0;;1482;;simple;LED світильники>LED світильники з пультом керування|АКЦІЇ/РОЗПРОДАЖ
3818;LED Світильник з пультом керування Sandinavia 72W 3000K-6500K EUROLAMP;"<h3>EUROLAMP LED Світильник круглий SMART LIGHT Sandinavia T29 72W 3000K-6500K</h3>
Особливість даного виду світильників - це можливість управління температурою свічення і світловим потоком за допомогою пульту управління.
Простий в установці і практичний у використанні, світильник SmartLight допоможе Вам заощадити не тільки кошти, а й час, адже тепер для регулювання освітленості в приміщенні є пульт.

У режимі максимального рівня освітленості, світильник SmartLight 72W видає 5000Lm світлового потоку. Даний тип світильників рекомендовано використовувати в приміщеннях типу: кухні, віталень, спалень, дитячих кімнат.

Також, світильник SmartLight володіє безліччю додаткових функцій і режимів для зручності використання. Таких як:
<ul class=""list"">
 	<li>управління колірною температурою від 3000К до 6500К;</li>
 	<li>таймер автоматичного вимкнення;</li>
 	<li>управління яскравістю;</li>
 	<li>режим нічника.</li>
</ul>";LED-SL-72W-T29;simple;0;;1492.02;;simple;LED світильники>LED світильники з пультом керування|АКЦІЇ/РОЗПРОДАЖ
6052;LED Світильник акриловий квадратний 160W 3000-6500K EUROLAMP;"EUROLAMP LED Люстра світлодіодна акрилова квадратна A66 160W 3000-6500K

НОВИНКА В АСОРТИМЕНТІ ТМ EUROLAMP. Акрилові люстри.

Дані люстри мають алюмінієвий та акриловий корпус.

Особливість цього виду люстр - це можливість управління температурою світіння та світловим потоком за допомогою пульта управління.

З вимикача люстра перемикається як будь-яка інша світлодіодна люстра. Кожне включення відключення по черзі переводить люстру за такими режимами: підсвічування, холодне світло, тепле світло, нейтральне світло.

У режимі максимального рівня освітленості, люстра видає 4300Lm світлового потоку.

Універсальний дизайн люстри підійде під будь-який стиль приміщення.
Також, акрилова люстра має безліч додаткових функцій та режимів для зручності використання. Таких як:
<ul class=""list"">
 	<li>керування колірною температурою від 3000К до 6500К;</li>
 	<li>керування яскравістю;</li>
 	<li>таймер автоматичного вимкнення;</li>
 	<li>режим нічника.</li>
</ul>";LED-ALS-160-A66;simple;0;;2398.98;;simple;LED світильники>LED світильники з пультом керування|АКЦІЇ/РОЗПРОДАЖ
